date,Port,OperatorCountryofDomicileName,vessel_type,count
26/02/2023,CXP,Indonesia,Cargo,1
17/09/2023,CXP,Indonesia,Cargo,1
24/09/2023,SOQ,Indonesia,Tanker,1
08/01/2023,MLD,Indonesia,Passenger,1
15/01/2023,TLI,Indonesia,Passenger,1
15/01/2023,BPN,Indonesia,Tanker,10
17/05/2023,DUM,United Kingdom,Tanker,1
10/10/2023,BLW,France,Cargo,1
10/04/2023,BUR,Indonesia,Tanker,4
28/07/2023,KUM,Indonesia,Passenger,1
05/11/2023,GRE,Indonesia,Passenger,7
10/10/2023,BDJ,Indonesia,Tanker,2
06/05/2023,GRE,Indonesia,Passenger,7
24/10/2023,BDJ,Indonesia,Passenger,3
27/07/2023,GRE,"China, People's Republic Of",Cargo,3
07/04/2023,BPN,Greece,Cargo,1
15/11/2023,SRG,Bermuda,Passenger,1
01/06/2023,BDJ,Greece,Cargo,1
21/02/2023,IBP,Thailand,Tanker,2
18/07/2023,TPR,"China, People's Republic Of",Cargo,2
30/10/2023,GRE,Indonesia,Dredging,3
04/11/2023,BIT,Indonesia,Passenger,2
18/10/2023,IBP,Indonesia,Tanker,6
08/04/2023,BUR,Indonesia,Cargo,3
17/04/2023,IBP,Indonesia,Cargo,4
10/12/2023,GRE,Indonesia,Other,2
10/02/2023,BUR,Indonesia,Tanker,2
15/08/2023,PNK,Indonesia,Cargo,7
18/03/2023,BUR,Indonesia,Pleasure Craft,1
06/05/2023,TPR,Indonesia,Pleasure Craft,1
23/10/2023,TJB,Indonesia,Tanker,1
14/01/2023,GRE,Indonesia,Tanker,4
30/04/2023,BDJ,Indonesia,Passenger,2
10/03/2023,SOQ,Indonesia,Cargo,1
21/10/2023,IBP,Indonesia,Tanker,3
13/09/2023,SMA,Indonesia,Tanker,1
03/09/2023,DUM,Indonesia,Tanker,2
16/09/2023,CEB,Indonesia,Cargo,1
27/02/2023,SUB,Indonesia,Passenger,2
17/08/2023,GRE,Indonesia,Cargo,11
21/08/2023,BUR,Indonesia,Cargo,1
11/10/2023,BUR,Singapore,Passenger,20
