date,Port,OperatorCountryofDomicileName,vessel_type,count
23/04/2023,BLW,Indonesia,Other,1
18/10/2023,IMW,Indonesia,Cargo,3
05/05/2023,SOQ,Indonesia,Tanker,4
27/12/2023,TQP,Indonesia,Passenger,2
26/04/2023,LTU,Indonesia,Cargo,5
08/01/2023,BDJ,Indonesia,Tanker,1
29/07/2023,DUM,Indonesia,Tanker,9
12/09/2023,BUR,Singapore,Cargo,4
31/08/2023,BUR,Singapore,Cargo,4
17/03/2023,KTJ,Vietnam,Cargo,1
16/05/2023,SRG,Denmark,Cargo,1
30/05/2023,SRG,Denmark,Cargo,1
26/09/2023,TPR,Singapore,Cargo,1
12/02/2023,SOQ,Indonesia,Passenger,2
08/10/2023,BIK,Indonesia,Passenger,3
23/05/2023,TJB,Indonesia,Cargo,1
19/05/2023,LTU,Indonesia,Cargo,1
15/09/2023,PNK,Indonesia,Tanker,2
25/12/2023,TNJ,Singapore,Passenger,3
13/09/2023,TQP,Indonesia,Passenger,3
07/07/2023,TJB,Indonesia,Cargo,2
28/04/2023,PNJ,Thailand,Cargo,1
29/01/2023,IBP,Indonesia,Passenger,84
01/07/2023,IBP,Indonesia,Passenger,81
19/11/2023,SRG,Indonesia,Passenger,2
24/05/2023,FKQ,Indonesia,Passenger,1
07/11/2023,FKQ,Indonesia,Passenger,1
30/05/2023,KDI,Indonesia,Passenger,2
02/06/2023,MKW,Indonesia,Passenger,5
15/08/2023,MAK,Indonesia,Passenger,4
21/12/2023,GRE,Indonesia,Passenger,8
09/04/2023,BIT,Indonesia,Cargo,2
24/05/2023,BPN,Indonesia,Sailing,3
03/11/2023,BPN,Indonesia,Sailing,3
02/11/2023,MLD,Indonesia,Cargo,1
12/04/2023,IBP,Indonesia,Passenger,91
15/08/2023,PNK,Indonesia,Cargo,6
21/08/2023,NGG,Indonesia,Cargo,1
16/07/2023,BIT,Indonesia,Tanker,2
13/11/2023,BPN,Indonesia,Tanker,10
09/01/2023,BDJ,Malaysia,Tanker,1
25/03/2023,IBP,Greece,Cargo,1
03/06/2023,BUR,Indonesia,Passenger,17
02/11/2023,BUR,Indonesia,Passenger,23
13/11/2023,BUR,Indonesia,Passenger,23
06/10/2023,SRG,Japan,Cargo,1
10/09/2023,TPR,"Korea, South",Cargo,2
11/09/2023,BDJ,"China, People's Republic Of",Cargo,1
19/12/2023,PNJ,"China, People's Republic Of",Cargo,2
23/01/2023,FKQ,Indonesia,Passenger,1
06/09/2023,TPR,Indonesia,Tanker,4
01/03/2023,BIT,Indonesia,Passenger,3
20/04/2023,BOA,Indonesia,Passenger,1
27/04/2023,IBP,Indonesia,Tanker,5
16/01/2023,SUR,Indonesia,Tanker,2
10/01/2023,TEI,Indonesia,Passenger,5
05/07/2023,TEI,Indonesia,Passenger,6
11/01/2023,SRG,Indonesia,Cargo,1
08/06/2023,LMR,Indonesia,Passenger,13
14/10/2023,LMR,Indonesia,Passenger,19
18/11/2023,LMR,Indonesia,Passenger,11
06/12/2023,BLW,Indonesia,Other,2
15/12/2023,IBP,Indonesia,Cargo,10
31/12/2023,KTJ,Indonesia,Cargo,1
06/11/2023,MAK,"China, People's Republic Of",Cargo,1
02/02/2023,TJB,Indonesia,Tanker,1
27/06/2023,KOL,Indonesia,Tanker,1
20/07/2023,BLW,"China, People's Republic Of",Cargo,2
19/11/2023,IBP,Indonesia,Passenger,82
28/01/2023,IBP,Indonesia,Cargo,6
17/04/2023,IBP,Indonesia,Cargo,4
07/08/2023,LMR,Indonesia,Passenger,8
13/05/2023,KBH,Indonesia,Other,1
27/02/2023,NAM,Indonesia,Passenger,1
14/04/2023,AMQ,Indonesia,Passenger,3
27/08/2023,AMQ,Indonesia,Passenger,3
04/10/2023,AMQ,Indonesia,Passenger,4
05/06/2023,IBP,Indonesia,Tanker,7
08/12/2023,IBP,Indonesia,Tanker,5
30/11/2023,SUR,Philippines,Cargo,2
11/10/2023,BUR,Singapore,Passenger,20
19/04/2023,BPN,Germany,Cargo,1
22/06/2023,IBP,Greece,Cargo,1
08/04/2023,BUR,Indonesia,Cargo,3
31/07/2023,BPN,Indonesia,Pleasure Craft,1
06/05/2023,TPR,Indonesia,Cargo,14
05/11/2023,BGG,Indonesia,Tanker,1
12/06/2023,TNJ,Indonesia,Passenger,2
03/01/2023,AMQ,Indonesia,Tanker,1
12/04/2023,SOQ,Indonesia,Tanker,2
01/12/2023,AMQ,Indonesia,Tanker,3
21/11/2023,DUM,Indonesia,Tanker,1
21/04/2023,BUR,Singapore,Passenger,9
07/10/2023,IBP,Japan,Cargo,1
03/10/2023,SRG,Switzerland,Cargo,1
01/01/2023,TPR,Indonesia,Other,2
17/08/2023,SRG,Indonesia,Passenger,3
10/02/2023,BUR,Indonesia,Tanker,2
14/01/2023,GRE,Indonesia,Tanker,4
15/01/2023,AEA,Indonesia,Cargo,1
26/12/2023,BLW,Indonesia,Cargo,1
07/04/2023,TPR,Indonesia,Tanker,2
27/08/2023,GRE,Indonesia,Tanker,3
30/04/2023,TJB,Indonesia,Passenger,6
07/10/2023,TJB,Indonesia,Passenger,2
16/06/2023,PNK,Indonesia,Tanker,6
25/01/2023,TJB,Indonesia,Cargo,2
30/04/2023,KDI,Indonesia,Passenger,2
15/07/2023,MAK,Indonesia,Other,1
21/11/2023,NBX,Indonesia,Passenger,1
19/12/2023,NBX,Indonesia,Passenger,1
14/06/2023,KDI,Indonesia,Tanker,1
18/06/2023,IMW,Indonesia,Cargo,1
04/08/2023,PGX,Indonesia,Cargo,1
04/05/2023,BUR,Saudi Arabia,Passenger,3
24/09/2023,BUR,Saudi Arabia,Passenger,3
23/12/2023,BUR,Saudi Arabia,Passenger,4
11/04/2023,TPR,Chinese Taipei,Cargo,1
27/07/2023,GRE,"China, People's Republic Of",Cargo,3
04/08/2023,NDA,Indonesia,Passenger,1
28/07/2023,KUM,Indonesia,Passenger,1
05/11/2023,GRE,Indonesia,Passenger,7
31/07/2023,MAK,Indonesia,Cargo,7
28/04/2023,TQP,Indonesia,Fishing,1
24/05/2023,TQP,Indonesia,Fishing,1
17/08/2023,GRE,Indonesia,Cargo,11
10/10/2023,BDJ,Indonesia,Tanker,2
23/07/2023,IMW,Indonesia,Cargo,1
09/12/2023,PNJ,Indonesia,Cargo,1
16/12/2023,BUR,Singapore,Other,1
11/12/2023,TPR,Chinese Taipei,Cargo,2
01/07/2023,IBP,Panama,Cargo,1
24/06/2023,BDJ,"Hong Kong, China",Cargo,1
08/12/2023,BDJ,Indonesia,Cargo,6
19/04/2023,GRE,Indonesia,Tanker,2
09/12/2023,MAK,Indonesia,Passenger,2
06/05/2023,GRE,Indonesia,Passenger,7
08/12/2023,BDJ,Indonesia,Passenger,3
26/11/2023,BDJ,Indonesia,Cargo,5
07/01/2023,MAK,Indonesia,Cargo,7
31/10/2023,TPR,Indonesia,Cargo,10
15/10/2023,TPR,Singapore,Cargo,1
06/08/2023,IBP,Indonesia,Passenger,94
02/01/2023,AMQ,Indonesia,Passenger,2
05/09/2023,BIT,Indonesia,Passenger,2
30/01/2023,TJB,Indonesia,Tanker,2
14/04/2023,BPN,Indonesia,Passenger,31
11/10/2023,BPN,Indonesia,Sailing,2
17/06/2023,SRG,Indonesia,Cargo,2
09/05/2023,SUR,Indonesia,Pleasure Craft,1
26/01/2023,IBP,Indonesia,Cargo,5
03/03/2023,CBN,Indonesia,Cargo,1
29/08/2023,DUM,Singapore,Tanker,3
19/06/2023,TPR,Japan,Cargo,1
08/02/2023,BUR,Singapore,Passenger,11
17/04/2023,BUR,Indonesia,Passenger,17
12/10/2023,BLW,"China, People's Republic Of",Cargo,2
18/06/2023,IBP,Greece,Tanker,1
12/07/2023,IBP,Indonesia,Tanker,7
04/03/2023,LTU,United States Of America,Tanker,2
14/10/2023,TPR,Chinese Taipei,Cargo,2
21/09/2023,BDJ,Vietnam,Cargo,1
15/02/2023,BUR,Singapore,Tanker,1
17/07/2023,TPR,"China, People's Republic Of",Cargo,2
22/05/2023,GRE,Switzerland,Cargo,1
29/09/2023,BPN,Indonesia,Passenger,38
16/01/2023,TPR,Indonesia,Tanker,1
04/05/2023,IBP,Indonesia,Tanker,9
26/03/2023,LUW,Indonesia,Passenger,1
13/06/2023,LMR,Indonesia,Passenger,9
