,ShipName,mmsi,avg_lat,avg_lng,flag_country,vessel_type,mode_nav_status,obs_time,time_lower,time_upper,imo,RegisteredOwnerCountryofDomicile,RegisteredOwnerCountryOfRegistration
46113,PACIFIC 01,636016968,1.289268225032258,103.97312430058064,Liberia,Tanker,At Anchor,2023-04-01 12:02:27,22,14,9395379,Vietnam,Vietnam
46114,OLYMPIC 1,563066100,1.2937759055925153,103.97727803659043,Singapore,Tanker,At Anchor,2023-04-01 12:10:13,32,32,9825075,Liberia,Liberia
46115,JULIANTO MOELIODIHARDJO,525018005,-2.98666667,104.80166667000002,Indonesia,Cargo,At Anchor,2023-04-01 12:11:03,141,141,8200668,Indonesia,Indonesia
46116,DESH ABHIMAAN,419001268,1.1704708337499998,103.3609152775,India,Tanker,At Anchor,2023-04-01 12:11:58,8,4,9326809,India,India
46117,MARINE ROSE,563034300,1.2983333299999997,103.98500000000001,Singapore,Tanker,At Anchor,2023-04-01 12:11:59,18,2,9812676,Singapore,Singapore
46118,MSC YAMUNA VI,564512000,1.2415472807894736,103.89465026315789,Singapore,Cargo,At Anchor,2023-04-01 12:16:40,15,15,9288409,Liberia,Liberia
46119,PANGALENGAN,525108015,-2.063611112291667,105.066979165,Indonesia,Tanker,Moored,2023-04-01 12:17:31,20,18,9793478,Indonesia,Indonesia
46120,VENTURA,357776000,1.07773027875,103.30512055458333,Panama,Tanker,Moored,2023-04-01 12:26:08,5,5,9216559,Marshall Islands,Marshall Islands
46121,SC GOLDEN FORTUNE LX,525119158,0.14322819472589793,117.58694517026466,Indonesia,Tanker,At Anchor,2023-04-01 12:26:14,111,110,9233870,Indonesia,Indonesia
46122,TANTO MITRA,525113002,-3.333546505903614,114.55409566240964,Indonesia,Cargo,Moored,2023-04-01 12:29:13,18,18,9810094,Indonesia,Indonesia
46123,SEASPAN LUMACO,477207600,-6.870110151818182,110.39202560818184,Hong Kong,Other,At Anchor,2023-04-01 12:29:31,1,0,9443487,"Hong Kong, China",Marshall Islands
46124,MADONNA SUN,525012335,-5.880713845576924,105.99772951903846,Indonesia,Tanker,At Anchor,2023-04-01 12:35:56,11,10,9196436,Indonesia,Indonesia
