date,Port,OperatorCountryofDomicileName,vessel_type,count
2023-07-02,BLW,France,Cargo,1
2023-08-09,BUR,United Arab Emirates,Cargo,1
2023-09-30,TBY,Indonesia,Tanker,2
2023-09-25,LMR,Indonesia,Passenger,9
2023-05-29,TPR,Indonesia,Cargo,10
2023-01-02,BPN,Indonesia,Passenger,28
2023-11-06,BUR,Indonesia,Other,2
2023-05-24,AMQ,Indonesia,Tanker,2
2023-08-01,MAK,Liberia,Cargo,1
2023-02-19,BPN,Indonesia,Passenger,31
2023-10-05,NAM,Indonesia,Passenger,1
2023-06-28,BMU,Indonesia,Tanker,1
2023-09-25,IBP,Indonesia,Tanker,6
2023-01-16,BUR,Greece,Cargo,1
2023-04-22,BUR,Netherlands,Cargo,1
2023-02-06,IBP,Singapore,Tanker,2
2023-08-16,IBP,Turkey,Cargo,1
2023-12-22,GRE,Singapore,Tanker,1
2023-06-16,IBP,United Arab Emirates,Tanker,1
2023-07-29,DUM,Indonesia,Tanker,10
2023-11-20,PTM,Indonesia,Pleasure Craft,3
2023-11-28,PTM,Indonesia,Pleasure Craft,3
2023-02-15,GRE,Indonesia,Passenger,8
2023-06-30,FKQ,Indonesia,Cargo,1
2023-11-28,BDJ,Indonesia,Other,1
2023-07-15,BIT,Indonesia,Cargo,2
2023-04-17,IBP,Indonesia,Tanker,9
2023-12-25,PNJ,Indonesia,Tanker,1
2023-11-26,BLW,Norway,Tanker,1
2023-01-12,MLD,"China, People's Republic Of",Cargo,2
2023-09-17,DUM,Indonesia,Passenger,3
2023-01-22,IBP,Indonesia,Tanker,6
2023-06-25,CBN,Indonesia,Cargo,1
2023-12-07,TPR,Indonesia,Other,1
2023-03-26,SUB,Indonesia,Passenger,1
2023-09-10,SUB,Indonesia,Passenger,1
2023-07-02,TBY,Vietnam,Cargo,1
2023-10-15,NDA,France,Passenger,1
2023-01-23,TPR,Switzerland,Cargo,3
2023-02-06,MAK,Bermuda,Cargo,1
2023-08-03,SRG,"China, People's Republic Of",Cargo,1
2023-04-11,MLD,Indonesia,Cargo,1
2023-01-17,WSR,Indonesia,Passenger,1
2023-01-31,WSR,Indonesia,Passenger,1
2023-11-07,DUM,India,Tanker,1
2023-02-26,BUR,Singapore,Cargo,2
2023-06-04,GRE,Philippines,Cargo,1
2023-09-10,SOQ,Indonesia,Tanker,3
